url,price,title
https://www.olx.com.pk/item/ielts-center-in-rwp-IDV5OGs.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 12,500</strong>",IELTS Center in rwp
https://www.olx.com.pk/item/yes-i-am-selling-rotaweter-IDV5Nxc.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,20,000</strong>",Yes I am selling rotaweter
https://www.olx.com.pk/item/inventive-pest-repelling-mouse-and-pest-killer-IDWKjxm.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Inventive Pest Repelling (mouse and pest killer)
https://www.olx.com.pk/item/pest-repelling-prominal-products-IDWLnyS.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Pest Repelling prominal products
https://www.olx.com.pk/item/horizontal-centrifugal-pumps-l-all-range-available-l-o51-575o571-IDWZmgW.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 35,000</strong>",Horizontal centrifugal Pumps l All range available l o51-575o571
https://www.olx.com.pk/item/pest-repelling-talented-IDWL3TA.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,000</strong>",Pest Repelling Talented
https://www.olx.com.pk/item/new-holland-8080-combine-harvester-IDV5O4M.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 32,00,000</strong>",New Holland 8080 combine harvester
https://www.olx.com.pk/item/harvester-machine-on-installment-pak-memon-impex-IDV5O10.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,00,000</strong>",HARVESTER machine On installment (Pak Memon Impex)
https://www.olx.com.pk/item/agriculture-machine-mini-harvester-all-works-can-do-IDWFE1m.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,90,000</strong>",Agriculture machine . mini harvester. All works can do.
https://www.olx.com.pk/item/centrifugal-single-impeller-pump-suction-4-inches-x-delivery-3-inches-IDWjYKE.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 63,000</strong>","Centrifugal single impeller pump, suction 4 inches x delivery 3 inches"
https://www.olx.com.pk/item/wheat-cutting-machine-IDWVXcc.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 17,500</strong>",Wheat cutting machine
https://www.olx.com.pk/item/wheat-for-sale-IDV5LG5.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,250</strong>",Wheat for sale
https://www.olx.com.pk/item/grow-zaffran-through-zaffran-bulbs-IDWcT6r.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 200</strong>",Grow Zaffran Through Zaffran Bulbs
https://www.olx.com.pk/item/zaffran-bulbs-imported-irani-and-spanish-IDV5MLD.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 200</strong>",Zaffran Bulbs (Imported Irani and Spanish)
https://www.olx.com.pk/item/milking-machine-IDV5Ncz.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60,000</strong>",Milking machine
https://www.olx.com.pk/item/candle-making-molds-IDV5MIJ.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,500</strong>",Candle making molds...
https://www.olx.com.pk/item/milty-type-brush-cutter-IDWBP38.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 26,500</strong>",Milty type brush cutter
https://www.olx.com.pk/item/farm-spray-pump-IDWBfHG.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 16,500</strong>",Farm spray pump
https://www.olx.com.pk/item/fountain-rose-shower-IDWCydL.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,600</strong>",Fountain rose shower
https://www.olx.com.pk/item/grass-rake-IDWBXy4.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 650</strong>",Grass rake
https://www.olx.com.pk/item/chainsaw-patrol-engine-IDWHXom.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 36,500</strong>",Chainsaw patrol engine
https://www.olx.com.pk/item/rain-bird-with-stand-IDWAXJr.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 6,500</strong>",Rain bird with stand
https://www.olx.com.pk/item/rain-bird-plastic-IDWBOZt.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 1,050</strong>",Rain bird plastic
https://www.olx.com.pk/item/milking-machine-IDV5JDh.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 60,000</strong>","Milking machine,"
https://www.olx.com.pk/item/lupin-nanus-pixie-delight-mix-flower-10-seeds-IDV5ITg.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 50</strong>",Lupin nanus Pixie Delight Mix Flower (10) Seeds
https://www.olx.com.pk/item/garden-tools-IDWAVaC.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 450</strong>",Garden tools
https://www.olx.com.pk/item/primula-elatior-primrose-crescendo-f1-formula-mix-flower-15-seeds-IDV5JIU.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 65</strong>",Primula elatior Primrose Crescendo F1 Formula Mix Flower (15) Seeds
https://www.olx.com.pk/item/all-grains-moisture-check-meter-IDV4uOq.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 3,999</strong>",All grains moisture check meter
https://www.olx.com.pk/item/4-in-1-soil-tester-ph-value-IDV4w05.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,499</strong>",4 in 1 soil tester ph value
https://www.olx.com.pk/item/centaurea-cyanus-tall-double-black-ball-cornflower-flower-50-seeds-IDV5JTj.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 50</strong>",Centaurea cyanus tall double Black Ball Cornflower Flower (50) Seeds
https://www.olx.com.pk/item/soil-ph-instrument-4-in-1-meter-IDV4uVo.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 2,499</strong>",Soil ph instrument 4 in 1 meter
https://www.olx.com.pk/item/rare-bonsai-white-pink-azalea-IDWZWI9.html,"<strong class=""xxxx-large margintop7 block not-arranged"">Rs 399</strong>",Rare Bonsai White & Pink Azalea
